,state,region,id,zip,city,latitude,longitude,type,url,domain,first.type,expense.percent,financial.rating,financial.rating.fye,accountability.rating,accountability.rating.fye,rating,fundraising.expense,admin.expense,contributions,revenue,rating.fye,overhead
1579,GA,georgia,org12729.htm,30329,Atlanta,33.827554,-84.32355,Human Services : Social Services,http://www.actionministries.net,actionministries.net,Human Services ,0.091,0.8736,3,1,4,0.9106,9.1,11.4,4828595,5025836,4,20.5
1580,TN,tennessee,org12730.htm,37206,Nashville,36.180806,-86.74176,International : Development and Relief Services,http://www.bloodwatermission.com,bloodwatermission.com,International ,0.332,0.6251,1,0.92,4,0.7289,33.2,11.6,3561665,3530370,2,44.8
1581,CA,california,org12732.htm,94105,San Francisco,37.789228,-122.3957,"Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation",http://www.californiahistoricalsociety.org,californiahistoricalsociety.org,"Arts, Culture, Humanities ",0.052,0.8476,3,0.93,4,0.8814,5.2,27.8,1280584,1963459,3,33
1582,IL,illinois,org12733.htm,60601,Chicago,41.886456,-87.62325,Human and Civil Rights : Advocacy and Education,http://www.aclu-il.org,aclu-il.org,Human and Civil Rights ,0.073,0.9049,4,0.9,4,0.9024,7.3,3.9,2077444,3769318,4,11.2
1583,PA,pennsylvania,org12734.htm,17112,Harrisburg,40.343261,-76.7808,International : Humanitarian Relief Supplies,http://www.AFCAids.org,afcaids.org,International ,0.033,0.7897,2,1,4,0.8512,3.3,3.1,2020337,2020272,3,6.4
1584,NY,new york,org12735.htm,11530,Garden City,40.725257,-73.64056,Health : Medical Research,http://www.childrensleukemia.org,childrensleukemia.org,Health ,0.412,0.7122,2,0.7,2,0.706,41.2,2.5,1328874,1422222,2,43.7
1585,WA,washington,org12736.htm,98122,Seattle,47.61157,-122.30406,Human Services : Children's and Family Services,http://www.jfsseattle.org,jfsseattle.org,Human Services ,0.108,0.8941,3,0.82,3,0.8523,10.8,12.6,8026496,10071155,3,23.4
1586,TN,tennessee,org12740.htm,37849,Powell,36.044507,-84.04192,"Health : Diseases, Disorders, and Disciplines",http://www.ccfoa.org,ccfoa.org,Health ,0.371,0.6586,1,0.63,1,0.644,37.1,3.4,13894468,13990709,1,40.5
1587,NY,new york,org12744.htm,13224,Syracuse,43.041866,-76.1032,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.bgcsyracuse.org/,bgcsyracuse.org,Human Services ,0.023,0.7961,2,0.73,2,0.7607,2.3,17.5,711081,1086028,2,19.8
1588,NY,new york,org12745.htm,12205,Albany,42.713328,-73.8179,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.trcscouting.org/,trcscouting.org,Human Services ,0.031,0.7347,2,0.93,4,0.8059,3.1,2.7,340938,2050121,3,5.8
1589,PA,pennsylvania,org12747.htm,17101,Harrisburg,40.261839,-76.88279,Human and Civil Rights : Advocacy and Education,http://www.pafamily.org,pafamily.org,Human and Civil Rights ,0.054,0.8996,3,0.69,1,0.7695,5.4,14.1,1181464,1291514,2,19.5
